SimulationTime(s),VehicleID,Speed(km/h),Acceleration(m/s^2),Distance(odometer),Latitude,Longitude,FuelConsumption(mg/s),EletricEnergyConsumption(Wh/s),NoiseEmission(dB),CO2Emission(g)
56.0,vehTest,105.83742058409149,0.9262415121309466,928.0968692223175,-5.814679301938675,-35.21683311162246,4048.5159706151862,0.0,75.49273951813186,1.8632619863555437
57.0,vehTest,104.75201426802904,-0.30150175446178906,957.1946509634369,-5.81443186286555,-35.216743893861796,1023.5121173036401,0.0,73.03421406161804,1.5131291433832659
58.0,vehTest,103.34584480923371,-0.39060262744314755,985.9018300771129,-5.8141889689662545,-35.21665291536146,780.2795080912771,0.0,72.73563048160844,3.0065318671484884
59.0,vehTest,105.76316236385846,0.6714770985068732,1015.2804862892957,-5.813940409689998,-35.216559546392475,3422.4811530814986,0.0,74.86817347752266,3.4502379011653677
60.0,vehTest,95.00287017963727,-2.9889700511725508,1041.6701724503064,-5.813706873798694,-35.216502729513046,0.0,0.0,70.30895071603427,1.6239354429240744
61.0,vehTest,101.77035590069269,1.879857144737617,1069.9397157560543,-5.81346767427341,-35.21641297817808,6086.428080957306,0.0,77.83724661909409,4.0315323334479265
62.0,vehTest,103.63712007605241,0.5185456042665884,1098.727804666069,-5.813224187701956,-35.21632103432839,2961.9153914151934,0.0,74.24840865748115,1.1361872363009908
63.0,vehTest,105.47107786929936,0.5094327203463749,1128.0253262964297,-5.812986731649685,-35.21619960970864,3014.687869113591,0.0,74.47564882924011,0.9603661058708977
64.0,vehTest,102.98886205347956,-0.6895043932832756,1156.6333435335075,-5.812744293854108,-35.216109810821166,0.0,0.0,72.37267863171095,0.5243667893562641
65.0,vehTest,93.6941314601448,-2.5818696092596554,1182.6594911613254,-5.812523202168158,-35.216028883455536,0.0,0.0,70.17142457209836,0.44214875228393885
66.0,vehTest,77.49413146014481,-4.5,1204.1856387891435,-5.812339614192519,-35.215964326651225,0.0,0.0,67.36496227958212,0.4949749943802101
67.0,vehTest,61.977832549248525,-4.310083030804524,1221.401703386157,-5.812192762703823,-35.21591287194816,0.0,0.0,64.29096774517986,0.36476398179244424
68.0,vehTest,45.799340856165315,-4.49402547030089,1234.1237425128695,-5.812084244839787,-35.21587484883864,0.0,0.0,60.204824543588806,0.47700929247237933
69.0,vehTest,32.35682427370715,-3.7340323840161584,1243.1117492555659,-5.812007577935281,-35.21584798586514,0.0,0.0,55.8090723463911,0.7847877938585741
70.0,vehTest,17.26773800874854,-4.1914128513773905,1247.9083431468848,-5.8119666634108516,-35.215833650013074,0.0,0.0,48.273224420395636,0.6174484186794602
71.0,vehTest,1.0749338640819237,-4.4980011512962825,1248.2069358869078,-5.811964116440978,-35.215832757592125,713.4256531631811,0.0,36.32060984020667,0.7631061420470359
72.0,vehTest,0.5268446038097284,-0.15224701674227648,1248.353281610188,-5.811962868124797,-35.21583232020042,829.3663686838375,0.0,55.32493218678787,0.7582480799229524
73.0,vehTest,0.037405153119435416,-0.13595540296952585,1248.363671930499,-5.811962779496276,-35.215832289146284,836.675005053491,0.0,55.34592808907338,0.7582480799229524
74.0,vehTest,0.011993254306344226,-0.007058860781414218,1248.3670033900287,-5.811962751079219,-35.215832279189364,837.0824094838316,0.0,55.91045337534976,0.7582480799229524
75.0,vehTest,0.006836496035126401,-0.0014324328531160624,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.1434064911449,0.0,55.93467821106165,0.7607539256176291
76.0,vehTest,0.0,-0.0018990266764240002,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.931920692732106,0.7607539256176291
77.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
78.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
79.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
80.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
81.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
82.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
83.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
84.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
85.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
86.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
87.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
88.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
89.0,vehTest,0.0,0.0,1248.3689024167052,-5.811962734880688,-35.21583227351364,837.2222222222222,0.0,55.94027641010837,0.7592061208977777
